no,agency,corp_name,year,designation_type,industry,ghg_tco2eq,energy_tj,verifier,remark
260,기후에너지환경부,강릉시,2024,사업장,폐기물 처리업,107713.0,764.0,(주)비에스아이그룹코리아,
261,산업통상자원부,강릉에코파워(주),2024,업체,발전에너지,2627404.0,32364.0,로이드인증원㈜,
262,국토교통부,강변테크노마트 주식회사,2024,사업장,건물,13404.0,278.0,대일이엔씨기술(주),
263,기후에너지환경부,강원고속,2024,사업장,육상 여객 운송업,16788.0,239.0,한국표준협회,
264,국토교통부,강원대학교,2024,사업장,건물,19897.0,411.0,한국표준협회,
265,기후에너지환경부,거제시,2024,사업장,폐기물 처리업,60696.0,487.0,(재)한국품질재단,
266,산업통상자원부,경기그린에너지(주),2024,업체,전기업,118443.0,0.0,한국표준협회,
267,기후에너지환경부,경기도 광주시,2024,업체,수도업,59846.0,999.0,㈜한국품질보증원,
268,기후에너지환경부,경북대학교,2024,사업장,고등 교육기관,41113.0,864.0,㈜한국품질보증원,
269,국토교통부,경북대학교병원,2024,사업장,건물,20752.0,426.0,한국표준협회,
270,기후에너지환경부,경산시,2024,사업장,폐기물 처리업,74974.0,800.0,㈜한국품질보증원,
271,기후에너지환경부,경산제지 주식회사,2024,사업장,"펄프, 종이 및 판지 제조업",107106.0,909.0,한국표준협회,
272,국토교통부,경상국립대학교,2024,사업장,건물,20967.0,433.0,한국표준협회,
273,기후에너지환경부,경상북도,2024,사업장,폐기물 처리업,71188.0,426.0,㈜한국품질보증원,
274,기후에너지환경부,경원여객자동차(주),2024,사업장,육상 여객 운송업,31036.0,572.0,한국표준협회,
275,기후에너지환경부,경원여객자동차(주),2024,사업장,육상 여객 운송업,15471.0,220.0,(주)한국경영인증원,
276,기후에너지환경부,경주시,2024,사업장,폐기물 처리업,83421.0,682.0,㈜한국품질보증원,
277,산업통상자원부,경진단조(주),2024,사업장,기계,14386.0,298.0,(주)한국경영인증원,
278,기후에너지환경부,경진여객운수(주),2024,사업장,육상 여객 운송업,21107.0,373.0,(주)한국경영인증원,
279,산업통상자원부,경창산업(주),2024,사업장,자동차,22326.0,465.0,(주)한국경영인증원,
280,산업통상자원부,고덕그린에너지(주),2024,사업장,전기업,28909.0,17.0,한국표준협회,
281,기후에너지환경부,고려강선(주),2024,사업장,1차 철강 제조업,57778.0,1210.0,한국생산성본부인증원(주),
282,해양수산부,고려고속훼리(주),2024,사업장,해상 운송업,31118.0,447.0,한국표준협회,
283,기후에너지환경부,고려기초소재,2024,사업장,기타 비금속 광물제품 제조업,20080.0,352.0,한국표준협회,
284,기후에너지환경부,고려아연 주식회사,2024,업체,1차 비철금속 제조업,3199180.0,44425.0,㈜디엔브이비즈니스어슈어런스코리아,
285,산업통상자원부,고려용접봉 주식회사,2024,사업장,기계,16869.0,347.0,㈜한국품질보증원,
286,기후에너지환경부,고려제강(주),2024,사업장,1차 철강 제조업,90621.0,1854.0,한국생산성본부인증원(주),
287,산업통상자원부,고려특수선재(주),2024,사업장,철강,22134.0,461.0,한국생산성본부인증원(주),
288,기후에너지환경부,고성그린파워 주식회사,2024,업체,전기업,8875485.0,96161.0,로이드인증원㈜,
289,기후에너지환경부,고양시,2024,업체,폐기물 처리업,140051.0,1147.0,㈜한국품질보증원,
290,기후에너지환경부,공주시,2024,사업장,폐기물,16080.0,43.0,(재)한국품질재단,
291,기후에너지환경부,공항철도(주),2024,사업장,육상 여객 운송업,58108.0,1211.0,대일이엔씨기술(주),
292,기후에너지환경부,과천시,2024,사업장,폐기물,14905.0,102.0,(재)한국화학융합시험연구원,
293,기후에너지환경부,광명시,2024,사업장,폐기물 처리업,67729.0,326.0,㈜한국품질보증원,
294,기후에너지환경부,광양시,2024,사업장,폐기물 처리업,45864.0,195.0,㈜한국품질보증원,
